Symbol,Name,Market Cap,Sector,Industry
6502,Toshiba Corp,$18.93 B, Industrials, Specialty Industrial Machinery
8725,"MS&AD Insurance Group Holdings, Inc.",$18.75 B, Financials, Insurance—Property & Casualty
8267,Aeon Co. Ltd,$18.32 B, Consumer Discretionary, Department Stores
4507,Shionogi & Co. Ltd,$18.27 B, Healthcare, Drug Manufacturers—Specialty & Generic
2502,Asahi Group Holdings Ltd,$18.21 B, Consumer Staples, Beverages—Brewers
5401,Nippon Steel Corp,$17.32 B, Basic Materials, Steel
1925,Daiwa House Industry Co Ltd,$16.98 B, Real Estate, Real Estate—Development
7201,Nissan Motor Co Ltd,$16.89 B, Consumer Discretionary, Auto Manufacturers
7269,Suzuki Motor Corp,$16.74 B, Consumer Discretionary, Auto Manufacturers
7832,"Bandai Namco Holdings, Inc.",$16.54 B, Consumer Discretionary, Leisure
9101,Nippon Yusen Kabushiki Kaisha,$16.46 B, Industrials, Marine Shipping
8630,"Sompo Holdings, Inc.",$16.17 B, Financials, Insurance—Property & Casualty
2802,"Ajinomoto Co., Inc.",$15.92 B, Consumer Staples, Packaged Foods
9735,Secom Co Ltd,$15.85 B, Industrials, Security & Protection Services
6857,Advantest Corp,$15.46 B, Technology, Semiconductor Equipment & Materials
1605,Inpex Corp,$15.16 B, Energy, Oil & Gas E&P
6920,Lasertec Corp,$14.87 B, Technology, Scientific & Technical Instruments
8015,Toyota Tsusho Corp,$14.74 B, Basic Materials, Steel
6869,Sysmex Corp,$14.72 B, Healthcare, Diagnostics & Research
9843,Nitori Holdings Co. Ltd,$14.41 B, Consumer Discretionary, Specialty Retail
5713,Sumitomo Metal Mining Co. Ltd,$14.08 B, Basic Materials, Other Industrial Metals & Mining
8604,"Nomura Holdings, Inc.",$13.84 B, Financials, Capital Markets
8421,Shinkin Central Bank,$13.79 B, Financials, Banks
1928,Sekisui House Ltd,$13.65 B, Consumer Discretionary, Residential Construction
4523,Eisai Co. Ltd,$13.64 B, Healthcare, Drug Manufacturers—Specialty & Generic
6645,OMRON Corp,$13.63 B, Technology, Electronic Components
4684,"OBIC Co.,Ltd.",$13.56 B, Technology, Software—Application
8830,Sumitomo Realty & Development Co. Ltd,$13.43 B, Real Estate, Real Estate Services
2503,Kirin Holdings Company Ltd,$12.88 B, Consumer Staples, Beverages—Brewers
4528,Ono Pharmaceutical Co. Ltd,$12.86 B, Healthcare, Drug Manufacturers—General
2801,Kikkoman Corp,$12.74 B, Consumer Staples, Packaged Foods
8309,"Sumitomo Mitsui Trust Holdings, Inc.",$12.59 B, Financials, Banks
4151,Kyowa Kirin Co. Ltd,$12.51 B, Healthcare, Drug Manufacturers—General
3407,Asahi Kasei Corp,$12.43 B, Basic Materials, Chemicals
9143,"SG Holdings Co.,Ltd.",$12.39 B, Industrials, Integrated Freight & Logistics
5020,"ENEOS Holdings, Inc.",$12.34 B, Energy, Oil & Gas Refining & Marketing
7270,Subaru Corp,$12.24 B, Consumer Discretionary, Auto Manufacturers
4324,"Dentsu Group, Inc.",$11.96 B, Communication Services, Advertising Agencies
2587,Suntory Beverage & Food Ltd,$11.93 B, Consumer Staples, Beverages—Brewers
4755,"Rakuten, Inc.",$11.83 B, Consumer Discretionary, Internet Retail
9104,Mitsui O.S.K. Lines Ltd,$11.65 B, Industrials, Marine Shipping
6701,NEC Corp,$11.59 B, Technology, Information Technology Services
7011,Mitsubishi Heavy Industries Ltd,$11.29 B, Industrials, Specialty Industrial Machinery
6988,Nitto Denko Corp,$11.08 B, Basic Materials, Specialty Chemicals
8308,"Resona Holdings, Inc.",$10.76 B, Financials, Banks
3064,MonotaRO Co. Ltd,$10.62 B, Industrials, Tools & Accessories
7701,Shimadzu Corp,$10.40 B, Technology, Scientific & Technical Instruments
NPX,Taiyo Nippon Sanso Corp,$10.37 B, Basic Materials, Chemicals
9202,"ANA Holdings, Inc.",$10.28 B, Industrials, Airlines
6506,Yaskawa Electric Corp,$10.25 B, Industrials, Electrical Equipment & Parts
7532,Pan Pacific International Holdings Corp,$10.22 B, Consumer Staples, Discount Stores
SMO,SMOBY,$10.20 B, Consumer Discretionary, Auto Parts
8697,"Japan Exchange Group, Inc.",$9.96 B, Financials, Financial Data & Stock Exchanges
8951,Nippon Building Fund InCorp,$9.71 B, Real Estate, REIT—Office
4188,Mitsubishi Chemical Holdings Corp,$9.64 B, Basic Materials, Chemicals
7202,Isuzu Motors Ltd,$9.64 B, Consumer Discretionary, Auto Manufacturers
7259,Aisin Seiki Co. Ltd,$9.45 B, Consumer Discretionary, Auto Parts
5802,"Sumitomo Electric Industries, Ltd.",$9.28 B, Consumer Discretionary, Auto Parts
6383,Daifuku Co. Ltd,$8.93 B, Industrials, Specialty Industrial Machinery
8601,"Daiwa Securities Group, Inc.",$8.86 B, Financials, Capital Markets
4716,Oracle Corp Japan,$8.86 B, Technology, Software—Application
5201,AGC Inc.,$8.74 B, Basic Materials, Specialty Chemicals
9766,Konami Holdings Corporation,$8.70 B, Communication Services, Electronic Gaming & Multimedia
6586,Makita Corp,$8.70 B, Industrials, Tools & Accessories
9962,"MISUMI Group, Inc.",$8.68 B, Industrials, Tools & Accessories
3402,"Toray Industries, Inc.",$8.65 B, Consumer Discretionary, Textile Manufacturing
4021,Nissan Chemical Corp,$8.63 B, Basic Materials, Chemicals
5411,"JFE Holdings, Inc.",$8.62 B, Basic Materials, Steel
9201,Japan Airlines Co. Ltd,$8.61 B, Industrials, Airlines
2267,"Yakult Honsha Co.,Ltd.",$8.59 B, Consumer Staples, Beverages—Non-Alcoholic
6479,"Minebea Mitsumi, Inc.",$8.58 B, Technology, Electronic Components
9503,"The Kansai Electric Power Company, Inc.",$8.50 B, Utilities, Utilities—Renewable
8795,"T&D Holdings, Inc.",$8.40 B, Financials, Insurance—Life
